variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
774946,0,,,
797647,0,826016,,
797823,0,826017,,
805419,0,,,
805422,0,,,
805593,0,826017,,
805671,0,,,
806431,1,,,
806432,1,,,
806466,1,,,
809315,0,826017,,
809416,0,826016,,
809478,0,826017,,
809492,0,826016,,
809494,0,826017,,
809723,0,,,
809829,0,826016,,
809873,1,,,
809910,1,,,
809911,1,,,
811372,0,826016,,
811821,0,826017,,
811827,0,826016,,
812503,1,,,
812505,1,,,
812512,0,,,
812516,0,,,
812540,0,,,
812541,0,,,
813989,1,,,
813990,1,,,
813999,0,,,
814056,0,826016,,
816367,0,,,
816368,0,,,
816469,1,,,
817625,0,,,
817724,1,,,
817725,1,,,
817726,0,,,
817727,0,,,
817735,0,,,
818476,0,826017,,
818967,0,,,
819028,0,,,
819095,0,,,
819281,0,826017,,
819332,0,826016,,
819339,0,826016,,
819343,0,826017,,
819353,0,826017,,
819376,0,826016,,
819383,0,826017,,
819411,0,826017,,
819449,0,826016,,
819450,0,826017,,
819451,0,826017,,
819454,0,826016,,
819459,0,826016,,
819789,0,,,
819793,0,,,
819795,0,,,
820343,0,,,
820434,0,826016,,
820435,0,826016,,
820680,0,,,
821143,1,,,
821365,0,,,
821409,0,,,
822074,1,,,
822075,1,,,
822403,0,826016,,
822404,0,826017,,
822579,1,,,
822584,0,,,
822586,0,,,
823499,0,826016,,
823531,0,,,
823533,1,,,
823535,0,,,
823537,0,,,
823672,1,,,
823676,0,,,
823679,0,,,
823733,0,826017,,
823734,0,826016,,
823809,0,,,
823841,0,,,
824134,0,826016,,
824398,0,826016,,
824704,1,,,
824706,0,,,
824746,0,826017,,
824747,0,826016,,
825533,0,826017,,
825546,0,826017,,
825567,0,826016,,
825608,0,,,
825610,0,,,
825622,0,826016,,
825635,1,,,
825636,1,,,
825685,0,826017,,
825841,0,,,
825842,0,,,
826014,1,,,
826015,1,,,
826016,1,,,
826017,1,,,
826018,1,,,
826025,0,,,
826027,0,,,
826079,0,826017,,
826080,0,,,
826128,0,826016,,
826138,0,826016,,
826140,0,826017,,
826155,0,,,
826158,1,,,
826162,0,,,
826167,0,,,
826168,0,,,
826170,0,,,
826204,1,,,
826237,1,,,
826263,0,826016,,
826266,0,,,
826276,0,826016,,
826277,0,826016,,
826280,0,826017,,
826281,0,826017,,
826282,0,,,
826283,0,826017,,
826284,0,,,
826285,0,826016,,
826294,0,826017,,
826295,0,826017,,
826306,0,,,
826308,0,826016,,
826309,0,826017,,
826312,0,826016,,
826331,0,826017,,
826332,0,826017,,
826333,0,826017,,
826342,0,,,
826357,0,,,
826366,0,826017,,
826384,0,826017,,
826439,0,826017,,
826449,0,826016,,
826450,0,826016,,
826451,0,826017,,
826485,0,,,
826536,0,826016,,
826537,0,826017,,
826577,1,,,
826578,0,826016,,
826582,0,,,
826583,0,,,
826584,0,,,
826585,0,,,
826586,0,,,
826588,0,,,
826589,0,,,
826590,0,,,
826591,0,,,
826592,0,,,
826593,0,826016,,
826594,0,826016,,
826596,0,826016,,
826615,1,,,
826616,1,,,
826617,1,,,
826618,1,,,
826620,0,,,
826623,0,,,
826657,0,826016,,
826658,0,826017,,
826660,0,826017,,
826678,1,,,
826682,0,,,
826687,0,,,
826690,0,,,
826787,0,826016,,
826805,0,826017,,
826879,0,826016,,
826884,0,826017,,
826885,0,826016,,
826889,0,826017,,
826890,0,826016,,
826894,0,826016,,
826906,0,826017,,
826907,0,826017,,
826925,0,826016,,
826956,1,,,
826960,0,,,
826998,0,,,
827013,0,826017,,
827049,1,,,
827053,0,,,
827055,0,,,
827084,0,,,
827118,1,,,
827120,1,,,
827121,1,,,
827122,1,,,
827123,1,,,
827124,1,,,
827125,1,,,
827144,0,826017,,
827146,0,826017,,
827147,0,826016,,
827154,0,826016,,
827165,0,826016,,
827212,0,,,
827213,0,,,
827217,0,,,
827222,0,826017,,
827231,1,,,
827235,0,826017,,
827237,0,826016,,
827256,0,826017,,
827280,0,,,
827281,0,826016,,
827289,0,826016,,
827293,0,826017,,
827315,1,,,
827316,1,,,
827397,0,826017,,
827412,0,826016,,
827423,1,826017,,
827441,0,826016,,
827442,0,826016,,
827443,0,826017,,
827444,0,,,
827447,0,826017,,
827449,0,826017,,
827457,0,826017,281,
827463,0,826017,,
827472,0,,,
827473,0,826017,,
827480,0,826017,,
827486,1,,,
827487,0,826017,,
827489,0,826017,,
827490,1,,,
827491,0,826017,,
827527,0,826017,,
827663,0,826016,,
827664,0,,,
827770,1,,,
827773,1,,,
827774,0,826017,,
827776,0,,,
827777,0,,,
827778,0,826017,,
827779,0,826017,,
827792,1,,,
827793,1,,,
827796,1,,,
827797,1,,,
827810,1,,,
827811,1,,,
827813,0,826016,,
827814,0,,,
827823,0,,,
827833,0,,,
827834,0,,,
827835,0,,,
827836,0,826016,,
827837,0,826017,,
827859,0,826016,,
827861,0,826017,,
827866,0,,,
827885,0,,,
828265,1,,,
828266,1,,,
828267,1,,,
828268,1,,,
828269,1,,,
828270,1,,,
828272,1,,,
828273,0,,,
828274,0,,,
828277,0,,,
828278,0,,,
828279,0,,,
828280,0,,,
828282,0,,,
828283,0,,,
828284,0,,,
828287,0,,,
828288,0,,,
828289,0,,,
828290,0,,,
828291,0,,,
828292,0,,,
828293,0,,,
828295,0,,,
828296,0,,,
828297,0,,,
828298,0,,,
828300,0,,,
828301,0,,,
828302,0,,,
828303,0,,,
828304,0,,,
828305,0,,,
828306,0,,,
828307,0,,,
828308,0,,,
828309,0,,,
828310,0,,,
828311,0,,,
828313,0,,,
828314,0,,,
828315,0,,,
828332,0,826017,,
828351,0,,,
828365,0,826016,,
828367,0,,,
828368,1,,,
828369,1,,,
828371,0,,,
828372,0,,,
828373,1,,,
828374,0,,,
828375,0,,,
828441,1,,,
828442,1,,,
828443,0,,,
828444,0,826016,,
828446,0,826017,,
828447,0,,,
828459,0,826016,,
828460,0,826017,,
828472,0,,,
828473,0,826017,,
828474,0,826017,,
828481,0,,,
828490,0,826017,,
828496,0,,,
828497,0,,,
828498,0,,,
828499,0,826016,,
828500,0,826016,,
828505,0,826017,,
828506,0,826016,,
828508,0,826017,,
828511,0,826016,,
828514,0,826016,,
828517,0,826016,,
828520,0,,,
828524,0,826017,,
828526,0,826016,,
828560,0,826017,,
828563,0,826016,,
828566,0,826017,,
828602,0,826017,,
828611,1,,,
828620,0,826016,,
828663,0,,,
828673,0,826017,,
828674,0,826016,,
828682,0,,,
828693,1,,,
828694,1,,,
828696,0,,,
828698,0,826016,,
828699,0,,,
828702,0,,,
828703,0,826016,,
828706,1,,,
828707,1,,,
828708,0,826016,,
828709,0,826017,,
828710,0,,,
828711,0,,,
828712,0,,,
828713,0,,,
828714,0,,,
828716,0,,,
828717,0,826016,,
828718,0,826017,,
828721,0,826016,,
828722,1,,,
828723,1,,,
828725,0,,,
828726,0,,,
828727,0,,,
828728,0,,,
828732,0,,,
