variant_id,stop_id
774946,1705
797647,1407
797647,1532
797823,1531
797823,1408
805419,73
805422,83
805422,2482
805422,73
805593,1603
805593,1497
806431,1704
806432,1704
806432,2477
806432,4248
806466,1705
806466,4201
809315,1531
809416,1376
809416,1532
809456,1868
809478,1531
809494,1531
809873,4248
809873,2040
809873,1705
809910,4013
809910,3976
809910,4026
809910,4002
809911,4003
809911,4025
809911,3976
809911,4014
811372,1532
812503,992
812503,1015
812503,1705
812505,1015
812505,1705
812512,992
812512,1015
812516,3871
812516,992
812516,1015
812540,1705
812541,3977
812541,992
812541,1705
813989,1704
813989,149
813990,148
813990,1705
813999,153
813999,148
815807,1376
815807,1542
816779,1603
816779,1497
816779,2818
817725,2276
817725,3415
817726,3421
817726,2275
817727,2276
817727,3415
819095,2342
819281,1541
819314,1897
819332,1496
819332,1604
819339,1897
819343,1897
819353,1897
819383,1398
819411,1603
819411,1497
819449,1396
819451,1868
819459,1397
819789,3995
819789,2838
819789,3476
819789,74
819789,1025
819793,74
819793,1025
819795,74
819795,1025
820343,3901
820555,1419
820555,1547
820555,2536
821143,1704
821143,72
821143,1125
821143,4804
821143,114
821365,3901
821721,1603
821721,1497
821721,2818
821721,1524
821721,1868
822074,812
822074,3861
822074,4458
822074,4115
822074,4459
822074,4746
822075,4747
822075,4460
822075,4114
822075,4457
822075,3410
822258,4684
822307,1396
823493,1497
823493,2818
823493,1524
823493,1868
823499,1532
823531,1704
823531,149
823531,912
823533,3123
823533,636
823535,4728
823535,4521
823535,3123
823535,636
823537,4521
823537,3123
823537,636
823809,403
823809,3256
824129,2818
824129,1524
824129,1868
824704,539
824704,527
824706,3272
824706,539
824706,527
825567,1151
825567,305
825567,3891
825610,2871
825635,3514
825635,508
825635,480
825635,347
825635,2666
825635,4389
825635,4825
825635,2010
825635,4738
825636,2011
825636,4827
825636,4389
825636,2665
825636,348
825636,481
825636,509
825842,3008
825842,891
825842,1138
825842,3412
825842,211
825842,240
825842,3518
826014,2341
826014,375
826014,4413
826015,376
826015,1817
826016,3758
826016,1149
826016,4634
826016,4478
826016,4707
826016,4744
826017,4492
826017,4745
826017,4429
826017,4479
826017,4633
826017,271
826017,3757
826018,2884
826018,1791
826018,4634
826018,4478
826018,4707
826018,4467
826025,812
826025,3861
826025,4458
826025,4115
826025,4709
826025,4481
826025,4678
826025,4461
826025,4746
826027,4747
826027,4462
826027,4678
826027,4480
826027,4710
826027,4114
826027,4457
826027,3410
826155,1239
826155,281
826155,403
826155,2341
826155,1816
826155,4878
826155,4880
826158,4492
826158,4429
826158,4479
826158,3235
826158,1865
826158,251
826162,4429
826162,4479
826162,3235
826162,1865
826162,251
826167,115
826167,4803
826167,2482
826167,73
826167,1705
826168,115
826168,4803
826168,2482
826168,73
826170,2482
826170,73
826237,4681
826237,4571
826237,3517
826263,3895
826276,3895
826277,3895
826277,3144
826280,4652
826281,4652
826282,4876
826282,4875
826282,4878
826282,1817
826282,2342
826282,1963
826282,2855
826294,1759
826294,116
826295,1759
826295,116
826295,788
826308,637
826309,636
826312,4652
826312,637
826331,396
826331,3890
826331,304
826331,2855
826332,3890
826332,304
826332,2855
826333,3890
826333,304
826342,3514
826342,396
826357,864
826357,3890
826357,3518
826357,3106
826366,638
826439,1160
826439,824
826439,651
826449,604
826449,708
826449,711
826449,3420
826450,604
826450,708
826450,711
826450,3420
826450,2488
826451,3415
826451,2828
826451,707
826451,602
826451,613
826485,3514
826485,3526
826485,2816
826485,4570
826485,255
826536,4652
826583,242
826583,255
826583,271
826583,281
826583,378
826584,271
826584,281
826584,3782
826584,378
826585,3782
826585,378
826586,2861
826586,1149
826586,4681
826588,1153
826588,2342
826588,2861
826588,1149
826588,4681
826589,242
826589,255
826589,271
826589,281
826589,3782
826589,378
826589,1153
826590,242
826590,255
826590,271
826590,281
826590,378
826590,1153
826591,1153
826591,2342
826591,3781
826591,2861
826591,1149
826591,4681
826592,1153
826592,2342
826592,2861
826592,1149
826592,4681
826593,255
826593,271
826593,281
826593,3782
826593,378
826594,255
826594,271
826594,281
826594,378
826596,255
826596,271
826596,281
826596,378
826596,1153
826615,480
826615,347
826615,2666
826615,4401
826615,2010
826618,3807
826618,349
826618,1215
826618,481
826620,480
826620,347
826620,2666
826620,4401
826620,2010
826623,480
826623,2035
826623,350
826657,1160
826678,2342
826678,3781
826678,2861
826678,1149
826678,4681
826682,4681
826682,4571
826682,3517
826682,3518
826687,1233
826687,3105
826687,509
826690,480
826690,347
826690,2666
826690,4401
826690,2010
826690,864
826879,1542
826885,1581
826885,1502
826885,1572
826895,4250
826895,1419
826895,1547
826895,2536
826906,1897
826907,1495
826936,1398
826956,1704
826956,149
826960,1015
827084,1149
827084,251
827121,4898
827121,1420
827121,1543
827123,1497
827123,2818
827123,3523
827123,1419
827123,1471
827123,4899
827146,2818
827146,3523
827146,1419
827146,1471
827146,4899
827147,4896
827147,1470
827147,1420
827147,3521
827149,4896
827149,1470
827149,1420
827149,3521
827149,2820
827164,4250
827164,1543
827212,3891
827212,3139
827212,4878
827212,4880
827213,4876
827213,4875
827213,4874
827213,4878
827213,864
827217,3105
827217,927
827231,1548
827231,1420
827231,1581
827231,1502
827231,1572
827234,1868
827235,1396
827235,1750
827237,1751
827280,1573
827280,1501
827280,1580
827280,1419
827280,1547
827280,2536
827293,2820
827293,1531
827293,1408
827397,1531
827489,1819
827519,1751
827519,1868
827774,1819
827792,1901
827792,604
827792,708
827792,711
827792,3420
827793,3415
827793,2828
827793,707
827793,603
827793,1900
827793,4892
827796,1901
827796,604
827796,708
827796,711
827796,3422
827797,3884
827797,3415
827797,2828
827797,707
827797,603
827797,1900
827797,4892
827823,3008
827823,891
827823,1138
827823,211
827823,240
827823,3518
827833,1901
827833,604
827833,708
827833,711
827833,3420
827834,1901
827834,604
827834,708
827834,711
827834,3420
827834,2488
827835,1901
827835,604
827835,708
827835,711
827835,3420
827835,2488
827836,1901
827836,602
827837,603
827837,1900
827861,603
827866,1901
827866,613
827866,3895
827885,2342
828265,115
828265,4803
828265,2482
828265,73
828265,1705
828266,1704
828266,2251
828266,895
828267,148
828267,1705
828268,2838
828268,3476
828268,74
828268,1025
828269,1704
828269,2251
828270,1704
828270,2251
828270,895
828272,3977
828272,992
828272,1705
828273,115
828273,4803
828273,2482
828273,73
828273,1705
828274,2482
828274,73
828274,1705
828277,4248
828277,2040
828277,1705
828278,4248
828278,2040
828278,1705
828279,895
828280,992
828280,1015
828280,1705
828282,1704
828282,2251
828282,895
828282,3870
828283,3871
828283,992
828283,1015
828283,1705
828284,3871
828284,992
828284,1015
828284,1705
828287,148
828287,1705
828287,4201
828288,148
828289,148
828289,1705
828290,148
828290,1705
828291,153
828291,148
828291,1705
828292,153
828292,148
828292,1705
828293,1705
828295,148
828296,148
828296,1705
828297,148
828297,1705
828298,153
828298,148
828300,153
828300,148
828300,1705
828301,1704
828301,149
828301,153
828302,2838
828302,3476
828302,74
828302,1025
828303,3995
828303,2838
828303,3476
828303,74
828303,1025
828304,3995
828304,2838
